Taxa	PC1	PC2	PC3	PC4	PC5
NC264	4.1804657	-0.748111	-0.11826647	1.3975784	0.76909244
NC290A	2.2641432	5.1954675	2.2214246	-14.032396	-2.6356094
NC294	-12.858812	-5.0981207	6.2834	-0.2589248	-0.3793647
NC296	6.064453	-9.226505	-0.24215014	-0.5041503	-0.7029543
NC296A	6.2555313	-9.154367	-0.21768403	-0.67398155	-0.83687115
NC298	6.469583	-8.5232315	-0.6746235	-0.5205329	-1.0490954
NC300	5.414047	-5.764609	0.55226743	-0.85355264	0.31737667
NC302	5.3902316	-7.299887	-0.21905227	-0.560882	-0.57293
NC304	5.059672	-7.0914893	-0.42677414	-0.35151613	-0.36610827
NC306	-13.50874	-5.853159	6.3437915	-0.41880426	0.9013097
NC310	-17.402174	-7.1413636	5.08039	-1.1812582	-0.7110447
NC314	-9.979101	-4.4645863	4.656884	0.26965153	0.27501273
NC318	3.2759967	-0.1459195	0.06289128	0.9671098	1.6304667
NC320	3.905401	-0.5519521	-0.231085	2.0317912	0.47659037
NC324	-10.178511	-4.5645437	5.175436	0.25121117	0.5414125
NC326	-18.495562	-7.5536222	5.9100657	-1.8417073	-0.16025533
NC328	-17.61323	-7.9192276	6.222032	-1.1420845	-0.99426997
NC33	0.88732594	1.3617274	0.68215805	-0.011931076	-0.860983
NC336	6.5425305	-8.989175	-0.6600043	-0.3845698	-0.56309193
NC338	5.8118854	-6.896178	-0.4468916	-0.6615999	-0.23064017
NC340	5.363537	-5.922381	0.12526692	-1.0200937	0.35223472
NC342	-0.06210415	2.2551	1.6412239	-10.364453	-2.2661965
NC344	2.600004	5.245567	2.0096962	-13.24639	-2.574581
NC346	5.83093	-8.79702	-0.35462257	-0.14640193	-0.7317902
NC348	6.491463	-8.336518	-0.09449013	-0.38779947	-0.51153797
NC350	5.630144	-6.723219	-0.49254772	0.24365747	-0.6575976
NC352	6.534258	-8.874191	-0.72706753	-0.421456	-0.563443
NC354	6.073127	-7.832452	0.04874369	-0.11856689	-0.70905644
NC356	5.0438943	-4.3593674	-0.7290435	-0.7550372	-0.87488514
NC358	4.715109	-5.001714	-0.744316	-1.41072	0.3611563
NC360	3.8199573	0.03964948	0.9938472	-8.624585	-1.7576901
NC362	3.579236	2.121935	1.2989366	-10.909561	-2.136326
NC364	3.5645647	2.1271884	1.3316866	-11.290685	-2.0868356
NC366	3.6514933	-0.6610333	1.3051468	-2.3852751	-0.07154417
NC368	-12.151694	-5.070736	4.80209	-0.03797258	0.4333038
ND246	1.0083957	2.8376465	0.41679546	-0.027765116	-0.1927036
OH40B	0.2819311	6.8800054	2.410531	-0.17862724	-1.9941626
OH43	-0.7011444	7.978306	3.3735924	3.4187737	-4.017376
OH43E	-0.28922313	7.3477826	3.7939937	3.877179	-4.5952992
OH603	0.6496875	1.7510418	1.0781903	-0.6227416	-1.6684781
OH7B	-1.7913145	2.37577	-2.8418648	1.1292213	0.2675931
OS420	-1.9489114	3.9919443	0.77510726	1.9666101	-0.3737858
P39	-0.23527512	7.968495	1.6000022	-1.6177882	6.6199055
PA762	0.21329153	7.440726	3.1834335	2.5864253	-4.5328927
PA875	-0.25888455	1.3112904	0.906027	2.087515	-1.9026932
PA880	0.6935639	2.1941905	1.3569604	2.127168	-2.0537925
PA91	-0.0940093	4.9819183	1.2079084	3.950693	-1.9608538
R109B	-0.707462	1.5578986	0.028891984	1.100434	0.8832841
R168	-0.71102786	3.9274254	0.27474084	1.457635	0.047186635
R177	-0.4766192	4.572908	0.8701616	2.3312106	-1.2059916
R229	-15.966965	-7.9020348	5.3141356	-1.4342294	0.12903354
R4	-1.707304	2.5325825	-0.029994039	2.2958944	-2.795003
SA24	0.18879093	2.7659197	2.7856483	-0.23614958	10.670353
SC213R	2.5928686	0.5031505	1.3814329	-1.1882308	-0.5738618
SC357	1.8695416	0.7336836	0.7067698	0.18635145	0.42990422
SC55	2.9460542	0.7372602	0.758659	0.3628872	1.0298252
SD40	-1.4486861	0.91674954	-4.1019335	-1.3128965	-0.0011714112
SD44	0.3713972	2.1660259	1.2568288	1.933459	-3.0619485
SG1533	0.6947612	1.9728101	1.8733807	0.23032583	8.24952
SG18	-0.20899609	1.6471349	2.0351665	0.24661519	11.824277
T232	0.19882672	1.22652	-0.92450094	1.4422336	1.4922742
T234	0.101363234	1.3265418	-0.6212086	1.4230849	-0.65021116
T8	0.9836283	1.6830075	0.64395005	-2.1871312	-5.7670527
TX303	2.2820058	-1.3199003	0.23577698	0.5319284	-0.5449275
TX601	4.566094	-3.3513458	-0.0017305003	-0.8713449	0.18256973
TZI10	4.675009	-3.3899813	-1.4580995	0.9805929	0.8398061
TZI11	2.6714547	-2.3648443	-0.14178713	0.29183954	0.42181927
TZI16	0.60966223	-1.6823311	-0.38396868	1.2160183	-0.49155733
TZI18	4.3463335	-3.696416	-0.64128256	-0.5300718	-0.06573712
TZI25	-1.9959586	-4.1226687	0.0838585	0.13312988	-0.30369076
TZI8	5.132954	-3.8643582	0.10186256	-0.43046257	0.13816212
TZI9	4.2795453	-3.2357914	-0.89588034	-0.16723591	-0.39979863
U267Y	2.4008698	-0.410123	0.16050115	1.9043151	-0.58044535
VA102	1.2636665	2.9921677	2.004178	-4.4569407	-5.3468666
VA14	0.51491463	2.9422464	1.2240053	2.3532174	-6.5639453
VA17	-0.2733576	2.6932418	1.4318911	2.3991377	-7.902025
VA22	0.4546429	2.5763478	1.6197029	-0.7869283	-5.0147405
VA26	-0.4903714	5.2047925	2.3033469	3.2746747	-2.6865895
VA35	1.0064552	2.9300194	1.2723293	-4.7355585	-6.0050335
VA59	1.7825401	3.6357002	2.512674	-6.576254	-5.6458273
VA85	0.09893726	4.773625	1.2329642	-0.040635098	-1.3124467
VA99	-1.4285297	3.8926177	-1.2203933	2.7708325	-1.0978986
VAW6	0.49326217	1.3491184	-0.17323571	0.96682596	-1.366253
W117HT	0.9813074	1.6347383	0.20128639	0.3500778	0.4733419
W153R	0.059592564	2.690779	0.56834275	2.493366	-0.40643793
W182B	0.058524378	3.8320744	0.58525085	2.3941598	2.1898518
W22R-RSTD	-1.0982971	3.0309265	0.16030096	3.8285682	-0.89141196
W22	-1.0219644	3.318866	0.29493806	4.2344832	-0.90752196
W64A	-0.87209815	2.3404427	0.64207786	4.5236588	-4.453698
WD	0.8085134	2.397855	0.7120628	0.85938257	3.0301728
WF9	-0.5753599	3.4844005	0.94993323	6.809258	-6.6574173
YU796NS	0.63329357	3.3089797	1.6445503	-0.8406378	0.5871427
